,columns,missing values count
0,Sensor - 1,21
1,Sensor - 2,63
2,Sensor - 3,274
3,Sensor - 4,274
4,Sensor - 5,274
5,Sensor - 6,274
6,Sensor - 7,274
7,Sensor - 8,177
8,Sensor - 9,46
9,Sensor - 10,46
10,Sensor - 11,46
11,Sensor - 12,46
12,Sensor - 13,46
13,Sensor - 14,69
14,Sensor - 15,69
15,Sensor - 16,69
16,Sensor - 17,69
17,Sensor - 18,69
18,Sensor - 19,69
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,19
22,Sensor - 23,19
23,Sensor - 24,19
24,Sensor - 25,19
25,Sensor - 26,19
26,Sensor - 27,19
27,Sensor - 28,19
28,Sensor - 29,19
29,Sensor - 30,19
30,Sensor - 31,19
31,Sensor - 32,19
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,314
41,Sensor - 42,314
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,21
54,Sensor - 55,21
55,Sensor - 56,21
56,Sensor - 57,21
57,Sensor - 58,21
58,Sensor - 59,21
59,Sensor - 60,108
60,Sensor - 61,108
61,Sensor - 62,108
62,Sensor - 63,108
63,Sensor - 64,108
64,Sensor - 65,108
65,Sensor - 66,108
66,Sensor - 67,108
67,Sensor - 68,108
68,Sensor - 69,108
69,Sensor - 70,108
70,Sensor - 71,108
71,Sensor - 72,108
72,Sensor - 73,11379
73,Sensor - 74,11379
74,Sensor - 75,108
75,Sensor - 76,552
76,Sensor - 77,552
77,Sensor - 78,552
78,Sensor - 79,552
79,Sensor - 80,552
80,Sensor - 81,552
81,Sensor - 82,552
82,Sensor - 83,552
83,Sensor - 84,23
84,Sensor - 85,40
85,Sensor - 86,13183
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,1073
90,Sensor - 91,1073
91,Sensor - 92,101
92,Sensor - 93,44
93,Sensor - 94,44
94,Sensor - 95,101
95,Sensor - 96,101
96,Sensor - 97,101
97,Sensor - 98,101
98,Sensor - 99,101
99,Sensor - 100,101
100,Sensor - 101,101
101,Sensor - 102,101
102,Sensor - 103,101
103,Sensor - 104,44
104,Sensor - 105,44
105,Sensor - 106,101
106,Sensor - 107,101
107,Sensor - 108,101
